col_name,nunique,nunique_ratio,H,M,L,ratio_H,ratio_M,ratio_L,dropMean,dropMedian,dropMax,dropMin,dtype,95%in10,type
col_2,16,0.262295081967,3,4,10,0.1765,0.2353,0.5882,0.2073,0.1221,0.7178,-0.0837,int64,False,numerical
col_3,13,0.213114754098,1,4,12,0.0588,0.2353,0.7059,0.1359,0.0946,0.4681,-0.0566,int64,False,numerical
col_4,15,0.245901639344,2,10,5,0.1176,0.5882,0.2941,0.2447,0.2762,0.5547,-0.0255,int64,False,numerical
col_5,12,0.196721311475,0,6,11,0.0,0.3529,0.6471,0.1482,0.135,0.3556,-0.0022,int64,True,numerical
col_6,17,0.27868852459,4,3,10,0.2353,0.1765,0.5882,0.2118,0.1792,0.6934,-0.1321,int64,False,numerical
col_7,13,0.213114754098,3,5,9,0.1765,0.2941,0.5294,0.2193,0.1507,0.7364,-0.0116,int64,False,numerical
col_9,13,0.213114754098,2,4,11,0.1176,0.2353,0.6471,0.1755,0.0942,0.5499,-0.0382,int64,False,numerical
col_16,13,0.213114754098,4,4,9,0.2353,0.2353,0.5294,0.2294,0.2402,0.5703,-0.077,int64,True,numerical
col_17,12,0.196721311475,1,8,8,0.0588,0.4706,0.4706,0.2413,0.2285,0.4577,-0.0046,int64,True,numerical
x1**2,2,0.0666666666667,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,int64,True,binary
x2**2,2,0.0666666666667,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,int64,True,binary
x3**2,2,0.0666666666667,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,int64,True,binary
x1,3,0.1,0,0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,int64,True,categorical
x2,3,0.1,0,0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,int64,True,categorical
x3,3,0.1,0,0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,int64,True,categorical
x1*x2,3,0.1,0,0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,int64,True,categorical
x2*x3,3,0.1,0,0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,int64,True,categorical
x3*x2,3,0.1,0,0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,int64,True,categorical
zip,47,1.0,0,5,2,0.0,0.7143,0.2857,0.3009,0.3691,0.4347,0.0,int64,False,numerical
theft,32,0.68085106383,2,5,0,0.2857,0.7143,0.0,0.3675,0.3956,0.5174,0.0,int64,False,numerical
income,47,1.0,5,2,0,0.7143,0.2857,0.0,0.5651,0.6439,0.8788,0.0,int64,False,numerical
fire,44,0.936170212766,5,2,0,0.7143,0.2857,0.0,0.5568,0.632,0.7976,0.0,float64,False,numerical
age,46,0.978723404255,2,3,2,0.2857,0.4286,0.2857,0.3452,0.3755,0.5477,0.0,float64,False,numerical
race,44,0.936170212766,5,1,1,0.7143,0.1429,0.1429,0.511,0.5915,0.8189,0.0,float64,False,numerical
vol,39,0.829787234043,5,1,1,0.7143,0.1429,0.1429,0.5732,0.6755,0.9156,0.0,float64,False,numerical
invol,19,0.404255319149,4,3,0,0.5714,0.4286,0.0,0.5225,0.5796,0.8112,0.0,float64,False,numerical
river,42,1.0,0,0,0,0,0,0,0,0,0,0,object,False,categorical
country,26,0.619047619048,0,0,0,0,0,0,0,0,0,0,object,False,categorical
area,41,0.97619047619,4,3,1,0.5,0.375,0.125,0.3877,0.4534,0.7496,0.0,int64,False,numerical
discharge,39,0.928571428571,1,6,1,0.125,0.75,0.125,0.2963,0.3117,0.6922,0.0,float64,False,numerical
runoff,36,0.857142857143,3,0,5,0.375,0.0,0.625,0.2195,0.0903,0.5821,0.0,float64,False,numerical
density,26,0.619047619048,4,2,2,0.5,0.25,0.25,0.4109,0.3889,0.9112,-0.0236,float64,False,numerical
no3,39,0.928571428571,4,2,2,0.5,0.25,0.25,0.4398,0.4199,0.8652,0.0,float64,False,numerical
export,42,1.0,6,1,1,0.75,0.125,0.125,0.488,0.591,0.7985,0.0,float64,False,numerical
dep,39,0.928571428571,5,1,2,0.625,0.125,0.25,0.4501,0.4715,0.8626,0.0,float64,False,numerical
nprec,33,0.785714285714,4,3,1,0.5,0.375,0.125,0.4127,0.4152,0.8242,0.0,float64,False,numerical
prec,38,0.904761904762,1,2,5,0.125,0.25,0.625,0.1438,0.0997,0.5319,-0.0961,float64,False,numerical
hour_of_day,24,0.048,0,1,6,0.0,0.1429,0.8571,0.0656,0.0396,0.2013,0.0,int64,False,numerical
day,273,0.546,0,0,7,0.0,0.0,1.0,0.0821,0.0505,0.2843,-0.0203,int64,False,numerical
pm10_concentration,117,0.234,0,1,6,0.0,0.1429,0.8571,0.1242,0.083,0.3312,0.0,float64,False,numerical
cars_per_hour,456,0.912,0,3,4,0.0,0.4286,0.5714,0.1785,0.1854,0.3939,-0.0094,float64,False,numerical
temperature_at_2m,218,0.436,0,1,6,0.0,0.1429,0.8571,0.1781,0.2192,0.2983,0.0,float64,False,numerical
wind_speed,79,0.158,0,1,6,0.0,0.1429,0.8571,0.1388,0.1856,0.3027,-0.0043,float64,False,numerical
temperature_diff_2m_25m,62,0.124,0,2,5,0.0,0.2857,0.7143,0.1481,0.149,0.3251,-0.0009,float64,False,numerical
wind_direction,354,0.708,0,1,6,0.0,0.1429,0.8571,0.076,0.033,0.3031,-0.0246,float64,False,numerical
climbRate,1500,0.0903668895717,0,0,18,0.0,0.0,1.0,0.1069,0.1238,0.2514,0.0,float64,False,numerical
Sgz,180,0.0108440267486,0,2,16,0.0,0.1111,0.8889,0.0781,0.0556,0.4148,-0.0019,float64,False,numerical
p,202,0.0121694077957,0,2,16,0.0,0.1111,0.8889,0.1445,0.1338,0.4821,0.0,float64,False,numerical
q,100,0.00602445930478,1,8,9,0.0556,0.4444,0.5,0.2414,0.2163,0.8132,0.0,float64,False,numerical
curRoll,60,0.00361467558287,1,0,17,0.0556,0.0,0.9444,0.1313,0.0628,0.6585,0.0,float64,False,numerical
absRoll,21,0.001265136454,5,2,11,0.2778,0.1111,0.6111,0.23,0.0874,0.6177,0.0,float64,False,numerical
diffClb,91,0.00548225796735,1,1,16,0.0556,0.0556,0.8889,0.1577,0.1376,0.8171,0.0,float64,False,numerical
diffRollRate,113,0.0068076390144,1,5,12,0.0556,0.2778,0.6667,0.2335,0.2016,0.65,0.0,float64,False,numerical
diffDiffClb,134,0.0080727754684,0,0,18,0.0,0.0,1.0,0.0392,0.0064,0.1814,-0.0121,float64,False,numerical
SaTime1,35,0.00210856075667,6,2,10,0.3333,0.1111,0.5556,0.3523,0.1576,0.9794,-0.0089,float64,False,numerical
SaTime2,35,0.00210856075667,5,3,10,0.2778,0.1667,0.5556,0.3497,0.1944,0.9089,0.0,float64,False,numerical
SaTime3,35,0.00210856075667,5,3,10,0.2778,0.1667,0.5556,0.3495,0.1944,0.9087,0.0,float64,False,numerical
SaTime4,34,0.00204831616362,5,3,10,0.2778,0.1667,0.5556,0.3709,0.2186,0.9677,0.0,float64,False,numerical
diffSaTime1,15,0.000903668895717,0,2,16,0.0,0.1111,0.8889,0.1103,0.028,0.4755,0.0,float64,True,numerical
diffSaTime2,3,0.000180733779143,0,1,17,0.0,0.0556,0.9444,0.009,0.0132,0.0178,0.0,float64,True,numerical
diffSaTime3,12,0.000722935116573,0,2,16,0.0,0.1111,0.8889,0.0763,0.0329,0.4171,-0.0075,float64,True,numerical
diffSaTime4,3,0.000180733779143,0,1,17,0.0,0.0556,0.9444,0.0072,0.0036,0.0154,0.0,float64,True,numerical
Sa,34,0.00204831616362,5,3,10,0.2778,0.1667,0.5556,0.3709,0.2184,0.968,0.0,float64,False,numerical
Goal,61,0.00367492017591,1,6,11,0.0556,0.3333,0.6111,0.2074,0.1364,0.4839,0.0,float64,False,numerical
