col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
83,1,0,0,0,1,0,1,66,60,63,60,43,67,1,880
58,1,1,0,0,0,0,0,54,63,61,59,64,62,1,1110
3,0,0,0,0,1,0,0,36,42,54,32,51,38,2,0
20,0,0,0,1,0,0,0,54,54,54,53,51,55,4,0
26,1,0,1,0,0,0,0,52,49,44,51,51,48,2,680
80,1,0,1,0,1,0,1,68,69,58,57,58,53,1,1090
49,0,0,1,0,1,0,1,42,43,50,49,55,51,7,0
3,0,1,0,1,0,0,0,61,57,64,26,49,34,4,0
49,0,0,0,1,0,0,1,51,45,64,52,58,54,4,0
46,0,0,0,0,1,0,1,56,49,50,54,58,51,2,0
76,0,1,0,0,0,0,0,56,60,63,64,65,44,2,0
81,1,0,1,0,1,0,1,66,58,66,53,55,46,2,970
81,1,0,1,0,1,0,1,44,54,59,61,53,65,3,930
66,0,0,0,0,0,0,1,39,51,40,36,44,52,2,0
78,1,0,0,1,0,0,0,64,60,61,62,53,54,1,890
18,0,0,0,0,0,0,0,57,46,44,55,53,47,4,0
3,0,0,0,0,0,0,0,32,42,45,41,28,35,2,0
98,0,0,1,0,0,0,1,42,54,65,55,55,59,0,0
68,0,0,1,0,1,0,1,56,60,64,60,64,59,3,0
68,0,0,1,0,1,0,0,50,66,41,52,50,52,4,0
79,1,0,0,1,0,0,1,62,53,45,57,47,53,4,810
38,0,0,0,0,0,0,0,64,69,46,54,64,49,6,0
68,0,1,0,0,0,0,1,51,51,64,60,47,61,2,0
68,0,0,0,0,1,0,1,59,54,38,61,53,49,3,0
25,1,0,0,0,0,0,0,59,58,56,55,62,54,1,990
57,0,1,0,0,1,0,0,51,39,61,38,49,51,4,0
55,1,0,1,0,1,0,0,66,66,53,51,64,50,5,1140
75,0,0,0,0,0,0,1,51,55,56,54,58,55,2,0
78,0,0,0,1,0,0,1,46,48,64,47,62,50,2,0
82,0,0,0,0,0,0,1,61,54,47,60,62,71,3,0
48,0,0,0,0,0,0,0,59,51,53,48,51,53,1,0
68,1,0,0,0,1,0,0,49,39,43,45,51,49,4,840
70,1,0,1,0,1,0,0,59,66,60,64,65,58,2,1230
36,1,1,0,1,0,0,1,56,54,50,55,53,44,1,940
99,1,0,1,0,1,0,0,59,66,34,65,65,59,3,1240
28,0,1,0,0,1,0,0,49,42,55,36,47,58,3,0
13,0,0,0,1,0,0,0,38,36,35,28,46,52,4,0
36,0,0,0,0,0,0,0,32,48,50,49,46,49,5,0
88,1,0,1,0,1,0,1,60,64,48,63,53,65,2,1090
29,0,0,0,1,0,0,1,42,36,46,42,44,53,3,0
35,0,0,0,0,1,0,0,68,52,58,53,56,49,3,0
80,1,1,0,1,0,2,1,46,54,45,43,29,48,5,670
68,0,0,0,1,0,0,1,49,39,66,55,53,49,3,0
98,1,1,0,1,0,2,1,61,63,65,52,62,46,2,1040
27,0,0,0,0,1,0,0,44,45,48,47,43,43,8,0
44,0,0,0,0,1,0,1,39,36,55,37,31,45,5,0
92,1,1,0,1,0,1,1,60,44,66,57,56,49,4,890
19,0,1,0,1,0,0,0,35,42,52,32,40,51,10,0
37,0,0,1,0,1,0,0,44,57,41,53,46,47,2,0
36,0,0,0,0,1,0,0,49,60,51,52,49,44,0,0
54,0,0,1,0,1,0,1,54,54,50,49,57,53,4,0
38,0,0,0,0,0,0,0,49,54,46,53,40,58,4,0
53,1,0,1,0,1,0,0,64,54,40,53,55,37,1,1010
79,1,0,1,0,1,0,1,66,58,61,54,60,37,5,920
99,1,0,1,0,1,0,1,66,69,61,60,65,54,2,1370
39,1,0,1,0,1,0,1,51,58,49,51,61,54,2,740
21,0,0,0,0,0,0,0,50,49,35,45,46,39,3,0
65,0,0,0,1,0,0,0,51,48,54,58,51,71,1,0
95,0,0,0,0,0,0,0,59,63,65,55,59,48,2,0
6,0,0,0,0,0,0,0,55,57,31,47,44,41,2,0
54,0,0,1,0,0,0,1,59,54,45,58,49,60,2,0
18,0,0,0,1,0,0,0,33,45,31,34,31,22,6,0
88,0,0,1,0,1,0,0,64,69,64,59,67,58,3,0
58,0,0,1,1,0,0,1,56,57,36,63,55,49,2,0
42,1,0,1,0,1,0,0,46,51,54,65,65,46,1,1000
38,0,0,0,0,0,1,0,39,42,36,33,55,39,5,0
19,0,0,0,0,0,2,1,32,37,40,29,31,47,3,0
65,0,0,1,1,0,0,0,64,60,49,63,67,65,6,0
98,1,0,1,0,0,0,0,59,72,43,62,67,51,3,1320
61,0,1,0,0,0,0,0,42,38,30,40,37,41,2,0
42,0,0,0,1,0,1,1,51,48,40,40,37,30,4,0
40,0,0,1,0,1,0,1,46,54,59,55,41,55,3,0
46,0,0,1,0,0,0,1,71,58,66,57,56,59,0,0
11,0,0,0,1,0,0,0,42,36,60,59,51,49,5,0
92,1,1,0,0,0,0,1,64,36,58,59,60,58,4,980
98,0,0,0,0,0,0,0,59,54,64,54,67,47,1,0
17,0,1,0,1,0,0,1,46,48,36,39,40,40,3,0
71,0,0,1,0,1,0,1,68,69,48,57,58,50,5,0
88,1,0,0,0,1,0,1,61,57,50,61,55,56,1,760
10,0,0,0,0,0,0,0,37,51,43,36,42,53,2,0
27,0,0,0,0,0,0,0,29,36,33,28,28,38,3,0
32,1,0,0,0,1,0,0,51,51,50,54,58,48,2,890
90,0,0,0,0,1,0,1,64,63,58,57,54,51,1,0
50,1,0,1,0,0,0,1,51,60,46,59,55,54,2,820
92,0,0,0,0,0,0,0,61,48,44,57,60,57,2,0
81,1,0,1,0,1,0,1,62,54,65,52,52,53,2,810
61,1,0,0,0,1,0,0,56,69,48,55,58,49,6,1130
73,1,0,0,1,0,0,0,56,63,61,56,56,47,4,920
19,0,0,1,1,0,0,0,54,36,50,49,53,52,0,0
57,0,1,0,0,0,0,1,46,33,51,50,40,55,4,0
32,1,0,1,0,1,0,1,49,63,58,52,42,59,3,720
83,1,0,1,0,1,0,0,62,58,64,58,64,54,1,1020
43,1,1,0,1,0,0,1,64,58,49,48,62,50,2,970
62,0,1,0,0,1,0,1,35,37,32,50,42,45,7,0
95,0,0,1,0,1,0,0,59,60,65,59,65,54,3,0
27,0,1,0,1,0,0,1,29,40,43,42,37,43,3,0
70,1,0,1,0,1,0,0,66,69,39,46,65,49,1,1180
8,0,0,1,1,0,0,0,36,37,39,36,42,41,4,0
32,0,0,0,1,0,0,0,54,45,41,40,44,46,2,0
93,1,0,0,0,1,0,0,64,72,66,57,67,59,1,1190
91,0,0,0,0,1,0,1,61,53,66,64,55,62,3,0
98,0,1,0,0,1,0,1,68,72,64,64,65,57,2,0
68,1,0,0,0,0,0,1,50,43,52,58,55,51,4,770
68,0,1,0,1,0,1,1,44,40,42,47,38,37,4,0
73,0,0,0,0,0,1,0,46,42,58,57,51,76,5,0
69,1,0,1,0,1,0,0,61,69,60,57,65,45,3,1220
83,1,0,0,0,1,0,0,64,54,64,61,56,47,3,1100
89,0,0,0,0,0,0,0,66,66,64,63,65,68,2,0
73,1,0,0,0,1,0,1,62,55,46,59,58,49,4,820
28,0,1,0,1,0,0,1,42,45,43,37,38,52,8,0
82,0,0,1,0,0,0,1,56,54,66,52,54,56,1,0
69,0,1,0,0,0,0,1,46,57,66,49,44,50,1,0
45,0,1,0,0,0,0,1,56,54,46,60,64,48,5,0
72,1,1,0,1,0,1,1,62,64,51,46,59,51,2,1000
96,1,0,1,0,0,3,0,61,60,62,61,64,47,2,1150
96,1,0,1,0,1,0,1,64,63,64,59,64,55,1,1180
95,1,1,0,1,0,0,1,55,63,36,48,53,52,2,930
49,0,1,0,1,0,2,0,32,33,30,20,33,30,5,0
74,0,0,1,0,1,2,0,59,63,45,54,51,43,8,0
32,1,0,0,0,0,0,0,47,43,46,39,49,56,2,730
76,1,0,0,0,1,0,1,61,61,65,64,64,54,0,1070
45,1,0,0,0,1,0,0,61,56,51,54,60,51,5,740
67,1,0,1,0,0,0,0,54,55,55,50,55,53,1,910
40,1,0,0,0,1,0,1,51,48,55,63,46,53,1,790
98,1,0,1,0,1,0,1,68,66,60,64,67,49,3,1320
36,1,0,1,0,1,0,1,52,60,55,62,57,55,2,720
37,1,0,0,0,0,1,0,42,42,44,35,38,31,2,590
79,1,0,0,0,0,0,1,54,64,44,52,51,39,2,1050
60,0,0,0,0,0,0,0,49,54,59,47,45,52,6,0
5,0,1,0,1,0,2,1,49,51,53,40,33,44,4,0
24,1,0,1,0,1,0,1,56,54,44,57,55,61,1,740
74,1,0,0,0,1,0,0,66,60,54,47,46,54,3,960
88,0,0,1,1,0,0,1,61,57,65,65,62,50,2,0
10,1,1,0,0,1,0,0,51,45,44,50,46,49,2,710
23,0,0,0,1,0,0,0,39,45,44,34,37,52,2,0
93,1,0,0,1,0,0,0,64,72,59,62,65,58,0,1370
69,0,0,0,0,1,0,1,61,48,59,59,54,51,2,0
95,1,0,0,0,1,0,0,56,57,55,58,55,60,2,990
41,0,0,1,0,1,0,1,66,57,66,63,49,54,3,0
89,1,0,0,1,0,0,0,66,72,65,59,56,56,2,1230
70,0,0,0,0,0,0,1,56,58,50,57,46,49,6,0
12,0,1,0,1,0,0,0,38,42,52,51,46,43,11,0
59,1,0,1,0,1,0,1,51,45,56,58,62,49,1,790
4,0,0,0,0,0,0,0,56,38,47,49,49,52,0,0
67,0,0,0,0,0,0,0,61,55,52,59,56,55,5,0
54,1,1,0,1,0,0,0,64,69,56,50,62,54,2,1110
25,0,1,0,1,0,0,0,46,40,39,45,33,46,10,0
23,0,0,1,1,0,0,1,32,33,44,53,44,53,3,0
95,1,0,1,0,1,0,1,59,63,62,64,60,55,1,990
39,0,0,0,0,0,0,1,35,48,53,59,44,53,3,0
50,0,0,0,0,1,0,1,66,54,51,65,51,48,5,0
23,0,0,1,1,0,2,1,41,42,43,54,45,46,3,0
13,0,1,0,0,1,0,1,32,37,40,49,38,46,3,0
0,0,0,1,0,1,0,0,39,36,39,30,42,48,3,0
53,1,0,0,0,0,0,0,56,56,45,54,56,45,2,870
98,0,0,0,0,0,0,1,61,60,66,57,65,60,0,0
91,0,0,1,0,0,0,0,64,60,53,54,65,59,1,0
10,0,0,0,1,0,0,0,37,39,38,26,47,40,6,0
73,0,0,1,0,1,0,0,61,72,43,59,65,60,5,0
86,0,0,0,0,1,0,1,54,54,63,52,57,49,1,0
24,0,0,1,1,0,1,1,37,45,36,26,35,26,3,0
77,1,0,1,0,1,0,1,66,69,36,56,65,64,2,1170
49,1,0,0,0,1,0,0,60,52,63,51,60,21,2,950
75,0,0,0,0,0,0,0,57,45,55,60,53,55,3,0
45,1,0,1,0,1,0,0,44,45,60,54,52,57,2,670
95,1,0,1,0,0,1,1,54,57,55,57,44,59,5,740
85,0,0,0,1,0,0,0,64,46,47,58,56,45,2,0
57,0,1,0,1,0,1,1,34,33,61,45,42,37,7,0
89,1,0,0,1,0,1,1,42,48,60,36,47,43,1,660
39,0,0,0,0,0,0,0,51,52,36,59,60,61,9,0
71,0,0,0,1,0,0,1,49,48,55,38,55,66,2,0
15,0,1,0,0,1,0,0,54,57,38,51,53,52,0,0
38,0,0,0,0,1,0,0,46,39,29,42,41,40,2,0
0,0,1,0,1,0,2,0,49,36,48,38,40,57,4,0
48,1,0,0,0,0,0,0,37,48,35,28,40,28,5,460
19,0,0,1,0,1,0,0,42,54,57,59,58,49,1,0
38,0,0,0,0,1,0,0,34,42,43,26,40,32,4,0
22,1,0,0,0,1,0,0,56,39,60,57,48,66,5,740
85,1,1,0,1,0,0,1,53,54,44,50,51,41,2,980
97,1,0,1,0,1,0,1,61,57,56,57,65,43,7,1070
9,0,0,1,0,1,0,0,31,37,41,34,47,54,1,0
57,1,0,1,0,1,0,0,59,54,54,56,64,49,1,1070
57,0,0,0,1,0,0,1,57,51,56,59,60,59,4,0
99,1,0,1,0,1,0,1,66,72,56,59,65,62,0,1330
84,0,0,1,0,0,0,0,64,60,66,55,65,48,1,0
50,1,1,0,0,1,0,0,51,63,49,57,51,53,0,880
92,1,0,0,0,0,0,1,56,60,62,65,58,58,4,1040
75,0,0,0,0,0,1,1,44,39,50,36,46,46,7,0
73,0,1,0,1,0,0,1,54,51,51,55,49,50,1,0
92,1,1,0,0,0,0,1,64,48,50,58,51,48,4,830
48,1,0,0,0,0,0,0,52,66,63,53,49,47,1,780
92,1,0,1,0,1,0,1,56,69,45,62,67,61,3,1040
71,1,0,1,0,1,0,0,61,57,61,57,62,53,6,840
99,0,0,1,0,1,0,1,46,33,66,47,47,59,5,0
11,0,0,1,0,1,0,1,43,39,36,42,31,31,0,0
62,0,0,0,0,0,0,1,59,57,64,59,47,58,4,0
82,1,0,1,0,1,0,0,59,48,63,59,58,60,1,980
83,1,0,0,0,0,0,0,61,66,55,42,65,56,1,1220
85,0,1,0,1,0,2,1,42,51,51,46,47,31,3,0
78,0,0,0,0,1,0,1,56,60,61,63,60,56,8,0
65,0,0,0,0,1,0,0,44,42,54,51,55,60,2,0
50,0,0,0,0,1,0,0,37,57,58,49,55,51,2,0
82,1,0,1,0,1,0,0,66,69,61,59,62,52,6,1070
91,0,0,0,0,0,0,1,59,60,65,57,55,83,1,0
70,0,1,0,0,0,0,1,59,63,56,57,53,72,2,0
38,0,0,0,0,0,0,1,49,31,50,54,51,54,3,0
13,1,1,0,0,0,0,0,44,39,64,43,50,63,2,520
63,0,0,1,0,1,0,0,59,43,45,50,53,45,4,0
97,1,0,0,0,0,0,1,68,61,51,57,64,69,6,1160
89,0,0,0,0,0,0,0,56,72,57,57,64,53,1,0
39,0,1,0,1,0,2,0,39,54,41,35,40,38,9,0
58,0,0,0,0,1,0,0,56,54,39,51,44,45,3,0
94,1,0,1,0,1,0,1,59,46,51,65,62,55,2,1020
36,0,0,1,0,1,0,0,54,44,43,48,42,43,1,0
42,0,0,1,0,1,0,1,57,52,49,60,46,58,2,0
47,0,1,0,1,0,1,1,38,36,52,52,39,23,7,0
14,0,0,0,1,0,0,0,44,48,45,57,42,47,2,0
93,1,0,1,0,0,0,0,66,60,37,55,62,46,1,1100
42,0,0,0,0,1,0,0,49,45,62,61,64,57,1,0
72,1,0,0,1,0,0,1,59,51,64,54,62,63,2,920
55,0,1,0,0,0,0,1,42,57,53,55,35,47,1,0
25,0,0,1,0,1,1,0,51,60,47,53,42,51,10,0
77,0,0,1,0,1,0,1,68,69,39,56,51,51,1,0
18,0,0,1,0,1,0,1,44,49,34,32,33,32,0,0
43,0,1,0,1,0,2,1,53,43,45,44,42,41,3,0
21,0,1,0,0,0,0,1,50,43,65,58,41,52,6,0
39,0,0,0,0,0,0,1,49,49,46,64,37,49,6,0
42,0,1,0,1,0,0,0,52,43,40,39,53,42,3,0
43,0,0,0,1,0,0,1,44,48,42,58,49,46,5,0
23,0,1,0,1,0,0,1,56,54,41,52,49,49,1,0
55,0,1,0,1,0,0,1,44,42,52,55,39,58,3,0
53,0,0,0,1,0,0,1,57,66,61,47,44,38,3,0
51,0,0,0,0,1,0,0,42,48,37,34,53,56,0,0
82,0,0,0,0,0,0,0,71,63,66,57,60,65,3,0
86,0,1,0,1,0,0,1,59,48,66,63,64,68,4,0
38,0,0,0,0,1,0,0,42,57,41,61,49,53,1,0
77,0,0,0,0,1,0,0,56,66,41,61,65,66,2,0
98,0,0,0,0,1,0,1,46,60,49,61,62,93,1,0
53,1,0,1,0,1,0,0,43,45,45,50,55,52,2,700
89,1,0,1,0,1,0,1,61,63,65,54,64,53,2,1110
63,0,0,0,0,0,0,0,32,54,44,49,51,39,3,0
66,0,0,0,1,0,0,1,52,44,40,57,52,50,1,0
68,0,1,0,1,0,0,1,59,54,45,45,39,45,6,0
79,1,1,0,1,0,1,1,42,51,39,51,37,40,10,710
56,1,0,0,0,0,0,0,64,57,47,59,53,50,2,970
84,1,1,0,1,0,3,0,64,57,66,60,65,71,5,1120
91,0,1,0,0,0,1,1,54,39,46,49,40,47,0,0
57,0,1,0,1,0,1,1,51,45,61,53,42,20,4,0
69,0,0,0,0,0,0,1,59,54,64,62,64,60,3,0
53,0,1,0,0,0,0,0,49,60,62,53,43,49,2,0
86,1,0,0,1,0,0,1,61,60,53,59,62,46,2,880
78,0,0,0,1,0,0,1,37,51,54,55,51,47,3,0
93,0,0,1,0,1,0,1,56,55,49,50,44,53,1,0
92,0,0,0,0,0,0,1,61,60,61,52,65,62,3,0
12,0,1,0,1,0,0,1,39,48,43,45,38,40,2,0
70,0,0,0,0,0,0,0,46,43,43,50,47,48,3,0
34,0,1,0,0,1,2,1,45,48,58,38,29,51,3,0
82,0,0,1,0,0,0,1,66,72,49,65,56,52,2,0
80,0,1,0,0,0,0,1,42,57,55,56,56,47,6,0
42,0,0,0,1,0,0,0,54,42,55,59,58,60,3,0
61,0,0,1,0,1,0,1,59,48,55,57,55,54,3,0
83,0,0,1,0,1,0,1,44,57,53,62,64,61,3,0
64,0,1,0,1,0,0,1,49,36,48,48,39,43,6,0
35,0,1,0,1,0,0,1,42,49,45,61,55,49,6,0
59,1,1,0,1,0,0,0,59,51,57,55,65,57,1,1040
9,0,1,0,1,0,0,0,34,42,34,51,44,42,3,0
74,0,0,0,0,1,0,0,43,50,34,48,49,39,3,0
85,0,0,0,1,0,2,0,51,42,52,42,42,54,12,0
51,1,0,0,1,0,0,1,68,63,66,64,59,60,2,990
88,1,0,1,0,0,0,1,66,52,61,54,60,53,0,1010
58,0,1,0,1,0,1,0,57,54,41,53,38,50,3,0
91,0,0,0,0,1,0,0,61,63,56,53,56,52,2,0
89,0,1,0,1,0,1,1,59,60,66,59,42,50,8,0
30,0,0,0,1,0,0,1,51,43,50,45,60,49,1,0
21,1,1,0,0,1,0,0,54,66,49,51,50,48,3,940
75,1,0,1,0,1,0,0,56,69,42,51,60,44,1,870
99,1,1,0,0,0,0,1,59,69,65,63,60,63,4,1100
76,1,0,1,0,0,0,1,68,69,60,60,67,57,5,1110
97,0,1,0,1,0,0,1,59,69,49,61,64,75,1,0
96,0,0,0,1,0,0,1,59,45,66,63,56,58,4,0
52,0,0,0,1,0,1,1,44,33,45,41,40,45,8,0
64,0,0,0,0,0,0,1,39,48,50,45,33,55,3,0
97,1,0,0,1,0,3,1,51,59,36,54,60,55,2,1100
28,0,1,0,1,0,0,1,42,42,55,55,51,58,1,0
62,0,0,0,0,1,0,0,66,49,61,58,67,62,4,0
66,0,0,1,0,1,0,1,64,69,55,59,59,54,5,0
97,1,0,0,0,0,3,1,59,63,50,52,64,58,1,990
11,1,1,0,1,0,0,1,46,40,36,22,46,41,2,580
47,1,0,1,0,1,0,0,49,54,64,62,62,62,5,1010
54,1,0,1,0,1,0,1,49,48,42,59,55,51,1,710
77,0,0,1,0,0,0,0,46,27,56,59,49,62,2,0
72,0,0,0,1,0,1,1,51,42,37,36,47,40,6,0
49,0,0,0,1,0,0,1,44,45,36,45,51,47,1,0
82,1,0,1,0,1,0,1,61,61,55,55,60,80,1,920
47,0,0,1,1,0,0,1,52,49,43,61,55,49,3,0
91,1,0,0,0,0,0,0,64,54,62,63,67,70,4,1130
46,1,0,1,0,1,0,0,61,48,49,46,55,57,6,730
32,0,0,0,1,0,0,1,54,49,45,56,52,46,2,0
87,1,0,1,0,1,0,1,59,63,47,60,51,47,1,920
51,0,1,0,1,0,2,1,38,43,59,53,40,47,5,0
94,1,0,1,0,1,0,1,64,69,64,62,65,61,2,1170
49,0,0,0,0,0,0,1,58,49,53,52,44,56,0,0
65,1,0,0,0,0,0,0,59,60,45,59,44,50,3,880
69,0,1,0,0,1,0,1,59,63,65,58,64,55,3,0
60,0,0,0,1,0,0,1,51,66,50,53,44,59,5,0
92,0,0,1,0,0,0,1,64,52,64,64,67,53,2,0
79,0,0,0,0,0,0,1,51,42,59,60,47,46,2,0
28,0,0,0,0,0,0,0,56,42,51,54,35,41,5,0
29,0,1,0,0,0,0,0,39,52,32,42,40,59,3,0
54,0,0,0,1,0,0,1,49,51,50,53,42,51,3,0
58,0,0,1,0,1,0,1,48,41,60,58,60,57,4,0
49,1,0,1,0,0,0,0,61,42,34,61,67,93,5,940
73,1,0,1,0,1,0,0,59,63,66,53,65,51,0,1040
81,1,0,1,0,1,0,1,50,40,66,60,58,50,3,870
18,0,1,0,1,0,2,1,49,54,40,63,33,59,2,0
80,0,1,0,0,1,0,1,49,51,46,57,51,56,0,0
68,1,0,1,0,1,0,0,61,66,54,63,62,71,2,1300
85,0,0,0,0,0,0,0,59,51,65,54,47,63,2,0
65,0,0,1,1,0,1,0,49,63,52,48,56,37,1,0
94,1,1,0,0,0,0,1,56,46,50,47,51,25,6,680
69,0,0,0,0,0,0,1,42,45,56,49,44,50,3,0
73,0,1,0,0,0,0,1,44,39,54,42,46,55,3,0
96,1,0,0,0,1,0,1,64,69,65,62,62,55,1,1070
66,0,1,0,0,1,0,1,54,58,55,55,57,47,4,0
15,0,0,0,1,0,0,0,54,63,51,42,51,61,1,0
28,1,0,1,0,1,0,1,59,52,66,60,59,59,5,980
36,1,0,0,0,0,0,0,61,54,66,63,60,45,6,960
49,0,0,0,1,0,0,0,56,46,37,54,52,44,3,0
71,1,0,1,0,1,0,1,49,57,46,57,56,57,1,710
17,0,0,0,1,0,1,1,49,54,40,55,56,56,0,0
35,0,0,0,0,0,0,1,44,49,65,58,44,63,1,0
